"id";"title";"description";"year";"type";"outils";"technologies";"order"
"4";"MINI-SITE OT - FINLANDE";"Interface de Présentation pour l'Office de Tourisme de Finlande";"2002";"Mini-site | Full Flash";"Flash | Director";"ActionScript";"25"
"3";"Catalogue Online GAULOISES MatPub";"Catalogue interactif de Matériel Publicitaire pour Gauloises, destiné au B to B. Adaptable en version CD-ROM";"2009";"Catalogue Online | Full Flash";"Flash";"ActionScript | PHP | MySQL";"176"
"2";"MINI-SITE MARMARA";"Réalisation Interface Interactive Commerciale pour le Tour Opérator MARMARA.";"2004";"Mini-site | Full Flash";"Flash | DreamWeaver";"HTML | CSS | ActionScript | Javascript / JQuery | XML";"3"
"1";"MINI-SITE MEDICIS";"Réalisation d'une carte de visite virtuelle de l'agence de communication Médicis";"2002";"Mini-site | Full Flash";"SoundForge | CakeWalk | Pack Macromédia | Pack Adobe";"HTML | CSS | ActionScript | Javascript / JQuery | XML";"4"
"41";"Pub on line CAMPING TYCOON";"Campagne Publicitaire Online pour le lancement du Jeu Camping Tycoon, via l'agence Anuman Interactive";"2008";"Pub on line";"Flash | Fireworks";"GIF Animé";"6"
"26";"Pub on line CHEVROLET";"Campagne Online pour chevrolet";"2005";"Pub on line";"Flash";"ActionScript";"7"
"25";"Pub on line DAEWOO";"Réalisation de la campagne online pour Daewoo";"2004";"Pub on line";"Flash";"ActionScript";"8"
"17";"Pub on line ESSELTE";"Bannière flash pour Esselte";"2003";"Pub on line";"Flash | DreamWeaver | Macromedia | Photoshop";"ActionScript | HTML | CSS | Javascript / JQuery";"9"
"42";"Pub on line PACIFIC STORM";"Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Pacific Storm, via l'agence Anuman Interactive";"2008";"Pub on line";"Flash";"ActionScript | GIF Animé";"10"
"43";"Pub on line POKER ACADEMY";"Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Poker Academy, via l'agence Anuman Interactive";"2008";"Pub on line";"Flash | Fireworks";"ActionScript | GIF Animé";"11"
"46";"Pub on line TMS";"Campagne Online Assurances TMS";"2007";"Pub on line";"Flash";"ActionScript";"12"
"69";"Pub on line TRAINZ";"Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Trainz, via l'agence Anuman Interactive";"2008";"Pub on line";"Flash";"ActionScript";"13"
"10";"Pub on line WANADOO";"0";"2004";"Pub on line";"Flash";"ActionScript";"14"
"44";"Pub on line WENGO";"Campagne Publicitaire Online pour le lancement du Site Wengo";"2008";"Pub on line";"Flash | Fireworks";"ActionScript | GIF Animé";"15"
"7";"ScreenSaver SACLA";"Réalisation d'un screensaver incluant vidéos et animation Flash pour la promotion d'une nouvelle gamme";"2005";"ScreenSaver | Full Flash";"Flash";"ActionScript";"16"
"32";"Catalogue interactif";"Catalogue interactif de PLV pour Gauloises, destiné au B to B.";"2007";"Catalogue Online | Full Flash";"Flash | Illustrator | Photoshop | Fireworks";"ActionScript | HTML | CSS | Javascript / JQuery";"17"
"45";"Site Internet EDITIONS 10-18";"Site Jeu concours Sur 1 an pour les éditions 10-18";"2003";"Jeux interactifs | Full Flash";"Flash | Illustrator | Photoshop | Fireworks";"ActionScript | PHP | MySQL | HTML | CSS | Javascript / JQuery";"172"
"31";"Site Internet OT AFRIQUE DU SUD";"Appel de l'Afrique du sud - Campagne média, mini-site extranet membre consacré à la promotion des voyages en ADS - Tour Opérators";"2005";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | PHP | Javascript / JQuery";"19"
"12";"Site Internet ART et FENETRES";"0";"2005";"Site Internet | Full Flash";"Flash";"ActionScript";"20"
"54";"Mini-jeux pour l'espace jeunesse Carré Sénart";"Jeux sur tablettes tactiles pour l'espace enfant du Carré Sénart - Centre Commercial de Melun Sénart.";"2011";"Jeux interactifs | Full Flash";"Flash | Illustrator | Photoshop";"ActionScript | HTML | CSS | Javascript / JQuery | XML";"174"
"55";"Site Internet CLESTRA CLEANROOM";"Site Internet Administré pour la Branche Cleanroom du Groupe Clestra Hauserman";"2011";"Site Internet | Site from scratch";"Flex | Flash | Pack Adobe | Apache Server | Eclipse | UltraEdit32 | Back Office propriétaire";"HTML | CSS | Javascript / JQuery | MySQL | PHP | ActionScript";"173"
"28";"Site Internet CLOZEAU CREATEUR";"Création du site dédié au bijoutier";"2006";"Site Internet | Full Flash";"Illustrator | Photoshop | Fireworks | DreamWeaver | Flash";"HTML | CSS | PHP | ActionScript | Javascript / JQuery | MySQL";"23"
"6";"Site Internet OT - CROATIE";"Site Internet pour l'Office de Tourisme de Croatie";"2002";"Site Internet | Site from scratch";"Go Live | Macromedia";"HTML | CSS | Javascript / JQuery";"175"
"9";"Site Internet OT - EGYPTE";"Site Internet pour l'Office de Tourisme d'Egypte";"2003";"Site Internet | Site from scratch";"Go Live | Macromedia | Photoshop";"HTML | CSS | ActionScript | Javascript / JQuery";"170"
"48";"Site Internet ALEX VAGNINI";"Site Internet en Flash pour Alex Vagnini, créatrice - décoratrice d'intérieur.";"2005";"Site Internet | Full Flash";"Flash | Illustrator | Photoshop | Fireworks";"ActionScript | PHP | MySQL | HTML | CSS | Javascript / JQuery";"31"
"11";"Site Internet OT - HONGRIE";"Site Internet pour l'Office de Tourisme de Hongrie.";"2004";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | ActionScript | Javascript / JQuery | XML | PHP | MySQL";"12"
"29";"Site Internet LA FABRIQUE DU DESIGN";"Création et réalisation du site de l'agence de communication la fabrique du design.";"2010";"Site Internet | Full Flash";"Flash | Pack Adobe | UltraEdit32";"ActionScript | XML";"166"
"50";"Site Internet LES GRAVES INFOS";"Réalisation des pages maitresses pour une Web TV Humoristique.";"2008";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery";"34"
"18";"Site Internet OT - LIBAN";"Site Internet pour l'Office de Tourisme du Liban.";"2002";"Site Internet | Site from scratch";"DreamWeaver | Macromedia | Photoshop";"HTML | CSS | ActionScript | Javascript / JQuery | XML";"35"
"15";"Site Internet LOCABOAT-INDUSTRIES";"Site Internet pour l'entreprise de fabrication de Pénichette(r) Locaboat";"2002";"Site Internet | Site from scratch";"Flash";"ActionScript | HTML | CSS | PHP | MySQL";"36"
"14";"Site Internet LOCABOAT";"Gestion complète du site Internet pour l'entreprise de location de Pénichette(r) Locaboat.";"2010";"Site Internet | Site from scratch";"Flash | ActionScript | Dynamique | DreamWeaver | Pack Macromedia | Photoshop | Site Dynamique | Quicktime VR";"ActionScript | PHP | MySQL";"37"
"8";"Site Internet LORENOVE";"Nouveau site pour Lorénove";"2002";"Site Internet | Site from scratch";"Flash | Go Live | Fireworks";"ActionScript | CSS | HTML | GIF Animé";"165"
"5";"Site Internet MAAF";"Réalisation et montage du Mini-Site dédié au Produit Pack Maaf";"2000";"Site Internet | Site from scratch";"Go Live | Photoshop";"HTML | CSS | ActionScript | Javascript / JQuery";"19"
"53";"Carte Interactive et site VISITMALTA";"Réalisation complète du site internet de l'office de tourisme de Malte, incluant une carte touristique Interactive comme module complémentaire.";"2005";"Carte interactive | Full Flash | Site Internet | Site from scratch";"Flash | Illustrator | DreamWeaver";"ActionScript";"167"
"23";"Site Internet MARSANS";"site Internet pour le Tour Opérator Marsans";"2001";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | PHP | Javascript / JQuery | MySQL";"41"
"57";"Site Internet MAURICE RADIO LIBRE";"Nouveau Site pour la Radio libre Associative, site e-commerce";"2011";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery | PHP | XML";"42"
"33";"Brochure Online PREMAMAN";"Conception / Réalisation du module de lecture en ligne de Brochure PDF. Flash pour Prémaman, mise à jour du site.";"2007";"Brochure Online | Full Flash";"Flash | DreamWeaver";"ActionScript | HTML | CSS | Javascript / JQuery | XML";"43"
"27";"Site Internet RESONNANCES";"Site Full Flash pur l'agence de publicité Résonnances";"2005";"Site Internet | Full Flash";"Illustrator | Photoshop | Fireworks | DreamWeaver | Flash";"ActionScript";"44"
"128";"Site Internet Utilitaire & services";"Mini-Site OnePage Admninistrable pour un prestataire de services";"2011";"Site One page, | Mini-site | PluXML";"Illustrator | Photoshop | DreamWeaver";"PluXML | HTML | CSS | PHP | Javascript / JQuery | MySQL";"45"
"56";"Site Internet SERVICES2IT";"Site Admninistré de présentation du Groupe Service 2 IT";"2011";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"Joomla | HTML | CSS | PHP | Javascript / JQuery | MySQL";"45"
"19";"Site Internet SKILLMEN and BOARD";"Site Internet pour l'entreprise de Management Skillmen & Board";"2003";"Site Internet | Site from scratch";"DreamWeaver | Macromedia | Photoshop";"HTML | CSS | ActionScript | Javascript / JQuery | XML";"46"
"51";"Site Internet SLAM METALLERIE";"Site Vitrine Administrable Multilangue";"2008";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery | MySQL | PHP";"164"
"52";"Site Internet TESTE POUR VOUS";"Réalisation des pages maitresses pour l'espace abonné du Site Testé pour Vous";"2008";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery";"49"
"49";"Site Internet FABIENNE FAUSSILLON";"Site Internet en Flash pour Fabienne Faussillon, conceptrice - rédactrice - Freelance.  ";"2005";"Site Internet | Full Flash";"Flash | Illustrator | Photoshop | Fireworks";"ActionScript | PHP | MySQL | HTML | CSS | Javascript / JQuery";"20"
"30";"Carte Interactive VISITEUROPE";"Réalisation d'une carte touristique Interactive l'office de tourisme européen.";"2005";"Carte interactive | Full Flash";"Flash | Illustrator | Photoshop | Fireworks | Zigo";"ActionScript | HTML | CSS | Javascript / JQuery | Tween Zigo | XML";"177"
"40";"Site Internet VU INTEGRAL";"Réalisation et montage du site de l'agence Vu Integral. Déploiement d'un système 100% administrable. ";"2010";"Site Internet | Full Flash";"Flash | DreamWeaver | Photoshop";"ActionScript | HTML | CSS | PHP | Javascript / JQuery | MySQL";"2"
"34";"Site Internet WINE IN PRIVATE";"Site Full Flash pour une agence de communication spécialisée dans le vin ";"2010";"Site Internet | Full Flash";"Illustrator | Photoshop | Fireworks | Flash";"ActionScript";"163"
"38";"Site Internet TOUR 66 Teaser et Site";"Site événementiel pour la tournée Tour66 de Johnny Hallyday ";"2008";"Site Internet | Full Flash";"Illustrator | Photoshop | Fireworks | DreamWeaver | Flash";"ActionScript | HTML | CSS | Javascript / JQuery | XML";"162"
"39";"Brochure Online LOCABOAT";"Conception / Réalisation du module de lecture en ligne de Brochure PDF. Flash pour Locaboat.";"2010";"Brochure Online | Full Flash";"Flash | DreamWeaver | Développement XML | ActionScript";"ActionScript | HTML | CSS | Javascript / JQuery | XML";"161"
"58";"Site Internet EDF - NETSEENERGY";"Nouveau Site pour NetSeenergy, filiale du groupe EDF";"2013";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"Joomla | PHP | MySQL | CSS | Javascript / JQuery | HTML | XML";"56"
"59";"Site Internet YOUZIKME";"Réalisation d'un site communautaire destiné aux musiciens.";"2013";"Site Internet | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery | MySQL | PHP";"7"
"60";"Site Internet La putain de BD";"Site dédié à la promotion de la sortie d'une BD";"2013";"Mini-site | PluXML";"Illustrator | Photoshop | Fireworks | DreamWeaver";"Bootstrap | CSS | HTML | PluXML";"58"
"61";"Site Internet Le Blog podcasts";"Site dédié à la réécoute des émissions de radio";"2013";"Mini-site | PluXML";"Illustrator | Photoshop | Fireworks | DreamWeaver";"Jquery Mobile | PluXML | CSS | HTML";"89"
"62";"Site Internet Le Site Rock Symbol";"Création du site Officiel de l'unique bateau Radio naviguant.";"2014";"Mini-site | PluXML";"Illustrator | Photoshop | Fireworks | DreamWeaver";"Bootstrap | PluXML | CSS | HTML";"60"
"63";"Site Internet ANARLF";"Site de documentation dédié à l'association de Neuro-Anesthésie Réanimation ";"2015";"Site Internet | Site from scratch";"Zend | Eclipse | Flex";"HTML | CSS | PHP | Javascript / JQuery | MySQL";"61"
"64";"Site Internet DOC-BIKER";"Gestion complète du site Internet pour l'enseigne DOC'BIKER pendant plus de 10 ans";"2014";"Site Internet | Site Joomla";"Bootstrap | Joomla";"Bootstrap | Joomla | CSS | HTML";"171"
"65";"Newsletter CUENDET";"Newsletter Location de Maison Cuendet";"2004";"Newsletter";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery";"63"
"66";"Newsletter GUADELOUPE";"Newsletter pur les îles de Guadeloupe";"2004";"Newsletter";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery";"64"
"67";"Site Internet BOURGOGNE";"Site Internet pour l'Office de Tourisme de Bourgogne";"2004";"Mini-site | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Javascript / JQuery | MySQL | PHP";"65"
"68";"Site Internet Le Site BIG MAMA";"Création du site Officiel de BIG MAMA, acteur majeur de la vidéo Broadcast et entreprises.";"2015";"Site Internet | Site Joomla";"Illustrator | Photoshop | Fireworks | DreamWeaver | Joomla";"Bootstrap | CSS | HTML";"178"
"171";"Campagnes DOMINO-PRINTING";"";"2018";"Landing page | Site from scratch";"Illustrator | Photoshop | Fireworks | DreamWeaver";"HTML | CSS | Bootstrap";"67"
"70";"Site Internet ILEXEN";"Site internet 'One Page' pour le cabinet d'avocats ILEXEN";"2017";"Landing page | Site Internet | Site Wordpress";"Illustrator | Photoshop | Fireworks | DreamWeaver | Wordpress";"PHP | MySQL | HTML | CSS | Javascript / JQuery";"169"
"71";"Application CMS propriétaire";"Réalisation d'une application CMS";"2005";"Applicatif propriétaire | Site from scratch";"Flex | Eclipse";"ActionScript | CSS | MySQL | PHP | HTML | Javascript / JQuery";"68"
"72";"Brochure interactive";"Réalisation d'une application de lecture de Brochure en ligne";"2005";"Applicatif propriétaire | Site from scratch | Brochure Online";"Flex | Eclipse";"ActionScript";"68"
"74";"Site Internet Azur Drones";"Refonte du site Internet d'Azur Drones, acteur majeur de la technologie des drones professionnels en France";"2017";"Site Internet | Site Wordpress";"Wordpress | Base T3 Blank Template | Adobe XD";"LESS | Bootstrap | CSS | HTML | Javascript / JQuery | PHP | MySQL";"179"
"177";"Landing Pages commerciales";"";"2023";"Landing page | Site Wordpress";"Wordpress | Adobe XD | Pardot | SalesForce";"LESS | Bootstrap | CSS | HTML | Javascript / JQuery | PHP | MySQL";"168"
"180";"Refonte du site web DiliTrust";"Refondre sans perdre la performance : concilier design et SEO";"2023";"Landing page | Site Wordpress | Print";"Adobe XD | Pack Adobe | Vagrant | Visual Studio Code";"LESS | Bootstrap | CSS | SCSS | HTML | Javascript / JQuery | PHP | MySQL";"180"
"180";"Refonte du site B à Bas";"Refondre sans perdre la performance : concilier design et SEO";"2009";"Site Internet | Site from scratch";"Adobe XD | Pack Adobe | Eclipse";"LESS | Bootstrap | CSS | SCSS | HTML | Javascript / JQuery | PHP | MySQL";"180"
